Número_punt_crític,Nom_Districte,Nom_Barri,Nom_Carrer,Número,Latitud,Longitud,Motiu,Nombre_visites_març_2018,Estat_març_2018,Nombre_visites_abril_2018,Estat_abril_2018,Nombre_visites_maig_2018,Estat_maig_2018,Nombre_visites_juny_2018,Estat_juny_2018,Nombre_visites_Juliol_2018,Estat_Juliol_2018,Nombre_visites_Agost_2018,Estat_Agost_2018,Nombre_visites_Setembre_2018,Estat_Setembre_2018,Nombre_visites_Octubre_2018,Estat_Octubre_2018,Nombre_visites_novembre_2018,Estat_novembre_2018,Nombre_visites_desembre_2018,Estat_desembre_2018
1,Ciutat Vella,el Raval,Carrer dels Salvador,1,41.378941,2.164394,Mala praxi comercial,7,29.57,5,10.6,6,26,6,18,6,24.83,5,13.4,2,18,2,16.5,3,11.33,3,2.67
2,Ciutat Vella,el Raval,Carrer Aurora,25,41.377945,2.167225,Mal ús de la recollida pneumàtica,7,29.57,4,14.25,6,41.83,6,21.75,6,12.17,5,26.2,7,14.57,10,20.2,11,18.18,6,23
3,Ciutat Vella,el Raval,Carrer Robadors,26,41.379672,2.170754,Mala praxi comercial,7,5,4,3.5,6,1.5,5,8.4,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
4,Ciutat Vella,el Raval,Carrer Vistalegre,21,41.378282,2.166277,Mal ús de la recollida pneumàtica,7,16.43,5,14,6,26.67,6,23.5,7,17.71,5,7,8,12.25,10,13.4,11,28.09,7,17.43
5,Ciutat Vella,el Barri Gòtic,Carrer Anselm Clavé,21,41.377609,2.178051,Mal ús de contenidors i/o papereres,7,25.71,4,12,6,20.67,7,38.43,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
6,Ciutat Vella,el Barri Gòtic,Plaça Joaquim Xirau,,41.378441,2.17632,Mala praxi comercial,7,14.86,5,7.8,6,14.17,6,11.17,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
7,Ciutat Vella,el Barri Gòtic,Plaça Regomir,,41.381721,2.17867,Mala praxi comercial,7,2.71,2,4,1,4,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
8,Ciutat Vella,el Barri Gòtic,Carrer Nou de Sant Francesc ,,41.3785993,2.1779434,Mal ús de contenidors i/o papereres,7,5.86,2,0,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
9,Ciutat Vella,la Barceloneta,Carrer Ginebra,19,41.381765,2.188789,Mal ús de contenidors i/o papereres,7,15.43,2,6,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
10,Ciutat Vella,la Barceloneta,Carrer de la Drassana,8,41.375621,2.189874,Mala praxi comercial,6,5.17,4,0.63,5,0.4,6,6.17,5,2.2,4,2.75,2,1,2,0,3,5.33,3,1.67
